,Role,Datetime_Posted
176,Cleaner,7 days ago
177,Domestic Cleaner,8 days ago
178,Domestic Cleaner,8 days ago
179,Car Valeter,7 days ago
180,Domestic Cleaner,8 days ago
181,Domestic Cleaner,8 days ago
182,Domestic Cleaner,8 days ago
183,Room Attendant,7 days ago
184,Room attendant,7 days ago
185,Temp Cleaning Operative,7 days ago
186,Domestic Cleaner,8 days ago
187,Domestic Cleaner,8 days ago
188,Domestic Cleaner,8 days ago
189,Domestic Cleaner,7 days ago
190,Experienced cleaners needed for tomorrow.,8 days ago
191,Housekeeper,2 days ago
192,Housekeeper,3 days ago
193,Steamer,8 days ago
194,Domestic Cleaner,8 days ago
195,Domestic Cleaner,8 days ago
196,Room Attendant,8 days ago
197,Cookery school assistant. New openings,9 days ago
198,Domestic Cleaner,8 days ago
199,Domestic Cleaner,8 days ago
200,Housekeeper,9 days ago
201,Domestic Cleaner,8 days ago
202,Domestic Cleaner,8 days ago
203,Cleaner,9 days ago
204,Domestic Cleaner,8 days ago
205,Domestic Cleaner,8 days ago
206,Domestic Cleaner,8 days ago
207,Domestic Cleaner,10 days ago
208,Cleaner,10 days ago
209,Night cleaner,10 days ago
210,Domestic Cleaner,8 days ago
211,Domestic Cleaner,8 days ago
212,Domestic Cleaner,8 days ago
213,Housekeeper,10 days ago
214,Housekeeper,2 days ago
215,Room Attendant,10 days ago
216,Housekeeper,3 days ago
217,Housekeeping Attendant (Casual),11 days ago
218,Domestic Cleaner,8 days ago
219,Domestic Cleaner,8 days ago
220,Room Attendant,11 days ago
221,Domestic Cleaner,11 days ago
222,Domestic Cleaner,8 days ago
223,Domestic Cleaner,8 days ago
224,Room Attendant,11 days ago
225,Domestic Cleaner,8 days ago
226,Domestic Cleaner,8 days ago
227,Domestic Cleaner,12 days ago
228,Domestic Cleaner,8 days ago
229,Domestic Cleaner,8 days ago
230,Domestic Cleaner,8 days ago
231,Toilet Attendant,12 days ago
232,Private House Cleaner,12 days ago
233,Domestic Cleaner,12 days ago
234,Domestic Cleaner,8 days ago
235,Domestic Cleaner,8 days ago
236,Domestic Cleaner,8 days ago
237,Cleaner/Driver,12 days ago
238,Cleaner,12 days ago
239,Cleaner,12 days ago
240,Housekeeper,12 days ago
241,Cleaner,12 days ago
242,Domestic Cleaner,8 days ago
243,Domestic Cleaner,8 days ago
244,Cleaning Operative,13 days ago
245,Night cleaner,13 days ago
246,Domestic Cleaner,8 days ago
247,Domestic Cleaner,8 days ago
248,Housekeeping Supervisor,13 days ago
249,Domestic Cleaner,8 days ago
250,Domestic Cleaner,8 days ago
251,Room Attendant,13 days ago
252,Domestic Cleaner,8 days ago
253,Domestic Cleaner,8 days ago
254,Domestic Cleaner,8 days ago
255,"STREET/ROAD SWEEPERS, START ASAP, £10+ ph",13 days ago
256,Housekeeper,13 days ago
257,Room Attendant,13 days ago
258,Domestic Cleaner,8 days ago
259,Domestic Cleaner,8 days ago
260,Domestic Cleaner,8 days ago
261,Domestic Cleaner,13 days ago
262,Domestic Cleaner,13 days ago
263,Cleaner,13 days ago
264,Cleaner / Housekeeper,13 days ago
265,Domestic Cleaner in High Barnet - Ideally job for mums,14 days ago
266,Domestic Cleaner,8 days ago
267,Domestic Cleaner,8 days ago
268,Housekeeper,14 days ago
269,Cleaner and setting out tables and chairs,14 days ago
270,Domestic Cleaner,8 days ago
271,Domestic Cleaner,8 days ago
272,Cleaner,14 days ago
273,Domestic Cleaner,8 days ago
274,Domestic Cleaner,8 days ago
275,Housekeeper / £11 per hour / Immediate Start / Central London,14 days ago
276,Domestic Cleaner,8 days ago
277,Domestic Cleaner,8 days ago
278,Domestic Cleaner,8 days ago
279,Room Attendant,14 days ago
280,Domestic Cleaner,14 days ago
281,Domestic and Commercial Cleaner,15 days ago
282,Domestic Cleaner,8 days ago
283,Domestic Cleaner,8 days ago
284,Domestic Cleaner,8 days ago
285,Domestic Cleaner,15 days ago
286,Domestic Cleaner - Ideally job for mums,15 days ago
287,Domestic Cleaner - Ideally job for mums,15 days ago
288,Domestic Cleaner - Ideally job for mums,15 days ago
289,Housekeeper,15 days ago
290,Domestic Cleaner,8 days ago
291,Domestic Cleaner,8 days ago
292,Looking for a hotel Room Maids/Bedroom cleaners for Greenwhich area,16 days ago
293,Night cleaners,16 days ago
294,Domestic Cleaner,8 days ago
295,Domestic Cleaner,8 days ago
296,Domestic Cleaners( Text your number or email please),16 days ago
297,Domestic Cleaner,8 days ago
298,Domestic Cleaner,8 days ago
299,Housekeeper,17 days ago
300,Domestic Cleaner,8 days ago
301,Domestic Cleaner,8 days ago
302,Domestic Cleaner,8 days ago
303,Domestic Cleaner: Immediate Start!,17 days ago
304,Domestic Cleaner,17 days ago
305,Domestic cleaner,17 days ago
306,Domestic Cleaner,8 days ago
307,Domestic Cleaner,8 days ago
308,Domestic Cleaner,8 days ago
309,Cleaner,17 days ago
310,Cleaning Operative,17 days ago
311,Cleaner,18 days ago
312,Cleaning Supervisor/Driver,18 days ago
313,Warehouse Cleaner,18 days ago
314,Domestic Cleaner,8 days ago
315,Domestic Cleaner,8 days ago
316,Domestic Cleaner,18 days ago
317,Domestic Cleaner,18 days ago
318,Domestic Cleaner,8 days ago
319,Domestic Cleaner,8 days ago
320,Cleaner,19 days ago
321,Domestic Cleaner,8 days ago
322,Domestic Cleaner,8 days ago
323,Housekeeper,18 days ago
324,Domestic Cleaner,8 days ago
325,Domestic Cleaner,8 days ago
326,Domestic Cleaner,8 days ago
327,Housekeeping Supervisor,18 days ago
328,Night Cleaner,19 days ago
329,Cleaner,19 days ago
330,Domestic Cleaner,8 days ago
331,Domestic Cleaner,8 days ago
332,Domestic Cleaner,8 days ago
333,Night cleaner,19 days ago
334,Domestic Cleaner,19 days ago
335,Domestic Cleaner,19 days ago
336,Room Attendant,19 days ago
337,Permanent office clean,19 days ago
338,Domestic Cleaner,8 days ago
339,Domestic Cleaner,8 days ago
340,Property Cleaner,19 days ago
341,Office Cleaner,19 days ago
342,Domestic Cleaner,8 days ago
343,Domestic Cleaner,8 days ago
344,CLEANER Night Shift,19 days ago
345,Domestic Cleaner,8 days ago
346,Domestic Cleaner,8 days ago
347,Domestic Cleaner,20 days ago
348,Domestic Cleaner,8 days ago
349,Domestic Cleaner,8 days ago
350,Domestic Cleaner,8 days ago
351,Cleaner,20 days ago
352,Housekeeper/waiter/chief de partie/chief de rang,20 days ago
353,Cleaner,20 days ago
354,Domestic Cleaner,8 days ago
355,Domestic Cleaner,8 days ago
356,Domestic Cleaner,8 days ago
357,Private House Cleaner,20 days ago
358,Domestic Cleaner,20 days ago
359,Cleaner,20 days ago
360,Cleaner,21 days ago
361,Domestic Cleaner,21 days ago
362,Domestic Cleaner,8 days ago
363,Domestic Cleaner,8 days ago
364,Room Attendant,21 days ago
365,End of Tenancy Deep Cleaner,21 days ago
366,Domestic Cleaner,8 days ago
367,Domestic Cleaner,8 days ago
368,cleaner operative,21 days ago
369,Domestic Cleaner,8 days ago
370,Domestic Cleaner,8 days ago
371,Cleaning ( Woman),22 days ago
372,Domestic Cleaner,8 days ago
373,Domestic Cleaner,8 days ago
374,Domestic Cleaner,8 days ago
375,Cleaner,22 days ago
376,Cleaner / Housekeeper,22 days ago
377,Cleaning Operative,22 days ago
378,Domestic Cleaner,8 days ago
379,Domestic Cleaner,8 days ago
380,Domestic Cleaner,8 days ago
381,Car Detailer,22 days ago
