,Comapny_Name,Role,City/Zip,Datetime_Posted
390,Eden Private Staff,Part time Housekeeper Nanny,London,12 days ago
391,Helpwiz Ltd.,newDomestic Cleaner in London,London,1 day ago
394,Synergy Health (UK) Ltd,Porter,New Cross,20 days ago
395,Exclusive Household Staff,newLive-in Housekeeper/Cook,London,6 days ago
396,Tiger Recruitment Ltd,"Highly Experienced Live-in Housekeeper, Roehampton",London,15 days ago
397,Resourcing Group,newDeep clean services team leader,London,6 days ago
398,Agents Army Ltd,newEnd of Tenancy Cleaning,London,1 day ago
399,Brook Street,"newCleaning Supervisor - Permanent Part, Time Position",London,1 day ago
400,"Jury's Inn Hotel, London",newNight Porter,London,1 day ago
403,St Pancras Hotel Group,Room Attendant - 5* Boutique Hotel,London,12 days ago
404,Win Win Lettings,newHousekeeper,London,1 day ago
408,PPHE Hotel Group,Kitchen Porter,London,9 days ago
412,Dorchester Collection,newLinen porter,London W1K 1QA,7 days ago
414,Claibon,Night Porter,London SW7,12 days ago
417,Sanctuary Care,newBank Housekeeping Assistant,London,5 days ago
418,Eden Private Staff,Live-out Housekeeper Cook,South Kensington SW7,14 days ago
421,Aspen Healthcare,Housekeeper – Bank,London,30 days ago
424,Aramark Defence Ltd,Kitchen Porter,London NW1,18 days ago
425,Claibon,Live In Head Porter,London NW8,26 days ago
426,Brook Street,3.5t Driver/ Porter,North London,10 days ago
428,"Marriott International, Inc",Assistant Housekeeping Manager (Kensington),London SW5 0TH,8 days ago
429,Blue Arrow,Building cleaners with CSCS card,West End,13 days ago
430,Claibon,Temporary Porter with full UK/EU Driving Licence,London NW8,16 days ago
431,Buck's Club,newKitchen Porter,London W1S,1 day ago
434,We cook for you,newKitchen Porter (KP),East London,5 days ago
436,Eden Private Staff,Part-time Nanny focussed Housekeeper,St. John's Wood NW8,13 days ago
437,HLP Leisure Ltd.,newNight Porter,London,7 days ago
439,Maybourne Hotel Group,Housekeeping Floor Supervisor,London,29 days ago
441,"Marriott International, Inc",Night Guest Room Attendant,London NW1 2AR,15 days ago
442,Elior,Kitchen Assistant/Porter,Leyton,20 days ago
444,1st Step Solutions Ltd,Labourer/ Cleaning Operative,London+1 location,23 days ago
445,Aston Services Group,newEvening Cleaner,London,3 days ago
446,Cleaning Express,newCleaner - private homes,East London+2 locations,Just posted
447,Galvin La Chapelle,newKitchen Assistant/Cleaner,London E1 6DY,7 days ago
448,JIANCHUAN LTD,Full time Domestic cleaner,London SE1 1SZ,18 days ago
450,SQP Ltd,newEvening Cleaner,London E14 9WS,1 day ago
451,Cleaning Express,newCommercial and Domestic Cleaner,London+1 location,7 days ago
452,Pizza Express,newCleaner,London EC2M+12 locations,Today
453,Kingdom,Full Time Cleaner,London EC4A 4AU,21 days ago
454,SMC,newCleaner,London SE1 1TE,1 day ago
455,Evo Cleaning,newRestaurant Cleaner near Bond St. 2hrs/day 10:00 - 12:00. £9....,London W1U 3RD,Today
