,Comapny_Name,Role,City/Zip,Datetime_Posted
1153,Shaw Healthcare,newDomestic Supervisor 35 Hours At Maitland Park Care Home,London NW3 2DU,7 days ago
1154,Omni Facilities Management Ltd,newRoom Attendant | London,London,2 days ago
1155,Cleanstart Ltd,Cleaner for School - Enhanced DBS is essential,London SE24 0EL,17 days ago
1156,Fadiga - Ristorante Bolognese,newKitchen Porter,London W1F,4 days ago
1157,Calibre International,Housekeeping Supervisor,London,14 days ago
1158,Sea Containers London - Housekeeping,Assistant Head Housekeeper,London SE1,15 days ago
1159,Bounce Farringdon,Kitchen Porter,London EC1N,9 days ago
1161,Greenwich Staycity Aparthotels,newNight Porter/Receptionist,Greenwich SE10 8JL,3 days ago
1162,KT&T LTD,newSenior Housekeeper,London E14,2 days ago
1164,Bella Italia St Martin s Lane,newKitchen Porter,London WC2N 4JS,7 days ago
1165,Chroda,newFull Time Cleaning Operative,London SW8,Just posted
1166,The Sloane Club,Room Attendant/Housekeeping- Private Members Club,London SW1W 8BS,12 days ago
1167,Lushlily Cleaning & Housekeeping Services,General housekeeping,Southwark,28 days ago
1168,Shaw Healthcare,newDomestic Supervisor 35 Hours At Maitland Park Care Home,London NW3 2DU,7 days ago
1169,Omni Facilities Management Ltd,newRoom Attendant | London,London,2 days ago
1170,Cleanstart Ltd,Cleaner for School - Enhanced DBS is essential,London SE24 0EL,17 days ago
1171,Fadiga - Ristorante Bolognese,newKitchen Porter,London W1F,4 days ago
1172,Calibre International,Housekeeping Supervisor,London,14 days ago
1173,Sea Containers London - Housekeeping,Assistant Head Housekeeper,London SE1,15 days ago
1174,Bounce Farringdon,Kitchen Porter,London EC1N,9 days ago
1176,Greenwich Staycity Aparthotels,newNight Porter/Receptionist,Greenwich SE10 8JL,3 days ago
1177,KT&T LTD,newSenior Housekeeper,London E14,2 days ago
1179,Bella Italia St Martin s Lane,newKitchen Porter,London WC2N 4JS,7 days ago
1180,Chroda,newFull Time Cleaning Operative,London SW8,Just posted
1181,The Sloane Club,Room Attendant/Housekeeping- Private Members Club,London SW1W 8BS,12 days ago
1182,Lushlily Cleaning & Housekeeping Services,General housekeeping,Southwark,28 days ago
1183,Shaw Healthcare,newDomestic Supervisor 35 Hours At Maitland Park Care Home,London NW3 2DU,7 days ago
1184,Omni Facilities Management Ltd,newRoom Attendant | London,London,2 days ago
1185,Cleanstart Ltd,Cleaner for School - Enhanced DBS is essential,London SE24 0EL,17 days ago
1186,Fadiga - Ristorante Bolognese,newKitchen Porter,London W1F,4 days ago
1187,Calibre International,Housekeeping Supervisor,London,14 days ago
1188,Sea Containers London - Housekeeping,Assistant Head Housekeeper,London SE1,15 days ago
1189,Bounce Farringdon,Kitchen Porter,London EC1N,9 days ago
1191,Greenwich Staycity Aparthotels,newNight Porter/Receptionist,Greenwich SE10 8JL,3 days ago
1192,KT&T LTD,newSenior Housekeeper,London E14,2 days ago
1194,Bella Italia St Martin s Lane,newKitchen Porter,London WC2N 4JS,7 days ago
